model_name,is_physics_informed,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr,physics_prior
piml,True,large,"256,256",67074,64,9,9,0.0,0.0,0.0197637710306379,0.0021128434556259,0.0007042811518753,0.0199181391961044,0.0020055763053613,0.0006685254351204,0.0022802401929058,0.0008112902869099,0.0002704300956366,6.060913377337986,3.43892580636294,1.1463086021209798,midpoint
piml,True,large,"256,256",67074,128,9,9,0.0,0.0,0.0175548632525735,0.0008955909591685,0.0002985303197228,0.0175414176450835,0.0005637620070624,0.0001879206690208,0.0015954068706681,0.0005368011183205,0.0001789337061068,7.865487469567193,3.156928464865203,1.052309488288401,midpoint
piml,True,large,"256,256",67074,256,9,9,0.0,0.0,0.0169671370337406,0.0002167262597878,7.224208659596468e-05,0.0170147528664933,0.0004093154980496,0.0001364384993498,0.001298169282058,2.6092363727234428e-05,8.69745457574481e-06,6.689585553275214,2.316332853563153,0.7721109511877179,midpoint
piml,True,large,"256,256",67074,512,9,9,0.0,0.0,0.0159294583524266,0.0004333192442617,0.0001444397480872,0.0160111501399013,0.0002989366562537,9.964555208458814e-05,0.0011545770491162,5.4790577081032966e-05,1.8263525693677656e-05,5.50803542137146,1.4177070309576296,0.4725690103192099,midpoint
piml,True,large,"256,256",67074,1024,9,9,0.0,0.0,0.0156905102647013,0.0003243736111637,0.0001081245370545,0.0157351770127813,0.0002125102549644,7.083675165482174e-05,0.0011269686898837,3.8506538520643816e-05,1.2835512840214604e-05,7.40887893570794,1.9984299677663389,0.6661433225887796,midpoint
piml,True,large,"256,256",67074,2048,9,9,0.0,0.0,0.0150333358388808,0.0015816325472265,0.0005272108490755,0.0150584266003635,0.0017325291016527,0.0005775097005509,0.0010291502015509,0.0002450280068125,8.167600227084253e-05,11.744668086369831,5.974874896066507,1.9916249653555025,midpoint
piml,True,large,"256,256",67074,4096,9,9,0.0,0.0,0.0141581730503175,0.0011868838665911,0.0003956279555303,0.0141977174207568,0.0011667056636305,0.0003889018878768,0.000876838076187,0.0001914015624824,6.380052082749461e-05,22.046416097217136,8.031784596551994,2.677261532183998,midpoint
piml,True,large,"256,256",67074,8192,9,9,0.0,0.0,0.0143008663629492,0.0006299619407186,0.0002099873135728,0.0143873458728194,0.0004973094187487,0.0001657698062495,0.0008870216422817,0.0001024383597552,3.4146119918414853e-05,39.40094510714213,13.941999619946584,4.647333206648861,midpoint
piml,True,medium,"128,128",17154,64,9,9,0.0,0.0,0.0201919730752706,0.0024962494316404,0.0008320831438801,0.0204570935004287,0.0026497403310103,0.0008832467770034,0.0024334536089251,0.0011098469627329,0.0003699489875776,13.111347966723972,3.904481942500142,1.3014939808333807,midpoint
piml,True,medium,"128,128",17154,128,9,9,0.0,0.0,0.0181653501672877,0.0014232251023219,0.0004744083674406,0.018264584036337,0.0011316285262582,0.0003772095087527,0.001742218233024,0.0007546816742184,0.0002515605580728,10.914758682250977,2.843831882388048,0.947943960796016,midpoint
piml,True,medium,"128,128",17154,256,9,9,0.0,0.0,0.0173677123255199,0.0006172406043795,0.0002057468681265,0.0175103654878007,0.0007628291027686,0.0002542763675895,0.0013896815297711,0.0001069594245953,3.565314153178546e-05,11.250431299209597,3.3025379951955576,1.1008459983985193,midpoint
piml,True,medium,"128,128",17154,512,9,9,0.0,0.0,0.0162840421415037,0.0003703661316037,0.0001234553772012,0.0164141843302382,0.0003294901095032,0.000109830036501,0.0012126709981304,5.236780772877109e-05,1.745593590959036e-05,10.25872540473938,4.488084766372387,1.4960282554574622,midpoint
piml,True,medium,"128,128",17154,1024,9,9,0.0,0.0,0.0159060878472195,0.000427241589729,0.000142413863243,0.0160040052400694,0.0004473207046409,0.0001491069015469,0.001163217290822,6.278209635948751e-05,2.0927365453162505e-05,8.182550350824991,2.530089437651859,0.843363145883953,midpoint
piml,True,medium,"128,128",17154,2048,9,9,0.0,0.0,0.015707214259439,0.0007749909081017,0.0002583303027005,0.0158132666514979,0.0007919286942823,0.0002639762314274,0.0011312639884029,0.0001173782001566,3.912606671889684e-05,15.473151153988308,12.494252447330258,4.1647508157767525,midpoint
piml,True,medium,"128,128",17154,4096,9,9,0.0,0.0,0.0154288548769222,0.0006168478770008,0.0002056159590002,0.0154582826006743,0.0005434219022863,0.0001811406340954,0.0010849433925209,8.212479095993636e-05,2.7374930319978784e-05,31.320513619316948,12.415143604734403,4.138381201578135,midpoint
piml,True,medium,"128,128",17154,8192,9,9,0.0,0.0,0.0148448158676425,0.000840625679867,0.0002802085599556,0.0149153228849172,0.0007263996731535,0.0002421332243845,0.0010010876964467,0.0001294948829137,4.316496097123496e-05,32.53064931763543,4.550768087358524,1.5169226957861746,midpoint
piml,True,small,"64,64",4482,64,9,9,0.0,0.0,0.0221951187898715,0.0017053306671163,0.0005684435557054,0.0224735132522053,0.0019239318296942,0.000641310609898,0.0027056452818214,0.0005239185734676,0.0001746395244892,8.748481512069702,1.8282536780372884,0.6094178926790962,midpoint
piml,True,small,"64,64",4482,128,9,9,0.0,0.0,0.0193788736230797,0.0009031456305457,0.0003010485435152,0.0195158239867952,0.0007444552432031,0.0002481517477343,0.001782945693574,0.0002126306649565,7.087688831883371e-05,14.0168551074134,4.817174859217156,1.6057249530723852,midpoint
piml,True,small,"64,64",4482,256,9,9,0.0,0.0,0.0180413114527861,0.0007445756553282,0.0002481918851094,0.0181172092755635,0.0006043988153015,0.0002014662717671,0.0014810122471923,0.0001018578063331,3.3952602111048624e-05,9.891851001315649,1.7257579123009492,0.5752526374336497,midpoint
piml,True,small,"64,64",4482,512,9,9,0.0,0.0,0.0170076623972919,0.0004739664494131,0.000157988816471,0.0171051377223597,0.0004608789143832,0.0001536263047944,0.0013128459815763,6.832442038156013e-05,2.2774806793853377e-05,9.495638608932495,2.2557030085637244,0.7519010028545748,midpoint
piml,True,small,"64,64",4482,1024,9,9,0.0,0.0,0.0164939417607254,0.000451338871251,0.000150446290417,0.0166206281218263,0.0004979777529217,0.0001659925843072,0.0012473486131057,6.16443310259158e-05,2.0548110341971936e-05,8.707843595080906,1.843556926546348,0.6145189755154492,midpoint
piml,True,small,"64,64",4482,2048,9,9,0.0,0.0,0.0161690382907787,0.0002690591649663,8.968638832210643e-05,0.0162425560669766,0.0001828895399787,6.096317999291457e-05,0.0011996435544764,4.300568841668013e-05,1.4335229472226712e-05,13.33513569831848,4.702303990046211,1.567434663348737,midpoint
piml,True,small,"64,64",4482,4096,9,9,0.0,0.0,0.0158226504507992,0.0006146658594668,0.0002048886198222,0.0158544808833135,0.0005554237257038,0.0001851412419012,0.0011401056868231,0.0001038415873709,3.4613862456974255e-05,25.005137628979156,7.567930902559329,2.522643634186443,midpoint
piml,True,small,"64,64",4482,8192,9,9,0.0,0.0,0.0154632568980256,0.0005337913309793,0.0001779304436597,0.0154991912552052,0.0004943084504315,0.0001647694834771,0.0010884881032527,7.356736671650621e-05,2.4522455572168735e-05,40.76672511630588,9.654351245748789,3.218117081916262,midpoint
piml,True,tiny,"32,32",1218,64,9,9,0.0,0.0,0.0243905939989619,0.001800185361365,0.0006000617871216,0.0244226600560877,0.0022578851098377,0.0007526283699459,0.0037196864270501,0.0007103728615071,0.0002367909538357,12.732295327716404,0.4602977544078729,0.1534325848026243,midpoint
piml,True,tiny,"32,32",1218,128,9,9,0.0,0.0,0.0229090075525972,0.0012497272652865,0.0004165757550955,0.0227650428811709,0.0014084412252142,0.0004694804084047,0.0030467049218714,0.0004473456349596,0.0001491152116532,11.679346164067589,2.104798401047487,0.701599467015829,midpoint
piml,True,tiny,"32,32",1218,256,9,9,0.0,0.0,0.0198742231974999,0.0012345458401178,0.0004115152800392,0.0199706850366459,0.0014714612858634,0.0004904870952878,0.001876731053926,0.0002147441887299,7.158139624330026e-05,15.091035683949787,1.47799399588026,0.4926646652934199,midpoint
piml,True,tiny,"32,32",1218,512,9,9,0.0,0.0,0.0176494963881042,0.0005281533611284,0.0001760511203761,0.0177881713542673,0.0007307459450627,0.0002435819816875,0.0014881450139606,0.0001017627373059,3.3920912435304186e-05,14.77012472682529,2.8569470594621884,0.9523156864873962,midpoint
piml,True,tiny,"32,32",1218,1024,9,9,0.0,0.0,0.0166294436073965,0.0001688453171617,5.6281772387251805e-05,0.0167221273812982,0.0004071934046002,0.0001357311348667,0.0012579261221819,3.4236931328711365e-05,1.1412310442903789e-05,16.090494500266182,2.609802456985721,0.8699341523285736,midpoint
piml,True,tiny,"32,32",1218,2048,9,9,0.0,0.0,0.0162324097214473,0.0004998982141472,0.000166632738049,0.0162847894761297,0.0004601712952685,0.0001533904317561,0.0012137059432764,7.270833036115442e-05,2.423611012038481e-05,18.281415436002945,5.636823137434806,1.878941045811602,midpoint
piml,True,tiny,"32,32",1218,4096,9,9,0.0,0.0,0.0161029208037588,0.0003420406893823,0.0001140135631274,0.016154382791784,0.0005026091732406,0.0001675363910802,0.0011777517566871,6.900885758591041e-05,2.30029525286368e-05,19.414733330408733,12.04886637742848,4.01628879247616,midpoint
piml,True,tiny,"32,32",1218,8192,9,9,0.0,0.0,0.0154724447056651,0.0005164825642123,0.0001721608547374,0.0154801433285077,0.0003977016051703,0.0001325672017234,0.0010911347215167,6.41313471874606e-05,2.1377115729153534e-05,25.33774807718065,7.899525818887675,2.6331752729625584,midpoint
